hex_codepoint,status,emoji,e_version,description,utf8_bytes,utf8_str,utf8_clean,unicode_bytes,unicode_str
1F600,fully-qualified,😀,E1.0,grinning face,b'\xf0\x9f\x98\x80',\xf0\x9f\x98\x80,xf0x9fx98x80,b'\\U0001f600',\\U0001f600
1F603,fully-qualified,😃,E0.6,grinning face with big eyes,b'\xf0\x9f\x98\x83',\xf0\x9f\x98\x83,xf0x9fx98x83,b'\\U0001f603',\\U0001f603
1F604,fully-qualified,😄,E0.6,grinning face with smiling eyes,b'\xf0\x9f\x98\x84',\xf0\x9f\x98\x84,xf0x9fx98x84,b'\\U0001f604',\\U0001f604
1F601,fully-qualified,😁,E0.6,beaming face with smiling eyes,b'\xf0\x9f\x98\x81',\xf0\x9f\x98\x81,xf0x9fx98x81,b'\\U0001f601',\\U0001f601
1F606,fully-qualified,😆,E0.6,grinning squinting face,b'\xf0\x9f\x98\x86',\xf0\x9f\x98\x86,xf0x9fx98x86,b'\\U0001f606',\\U0001f606
1F605,fully-qualified,😅,E0.6,grinning face with sweat,b'\xf0\x9f\x98\x85',\xf0\x9f\x98\x85,xf0x9fx98x85,b'\\U0001f605',\\U0001f605
1F923,fully-qualified,🤣,E3.0,rolling on the floor laughing,b'\xf0\x9f\xa4\xa3',\xf0\x9f\xa4\xa3,xf0x9fxa4xa3,b'\\U0001f923',\\U0001f923
1F602,fully-qualified,😂,E0.6,face with tears of joy,b'\xf0\x9f\x98\x82',\xf0\x9f\x98\x82,xf0x9fx98x82,b'\\U0001f602',\\U0001f602
1F642,fully-qualified,🙂,E1.0,slightly smiling face,b'\xf0\x9f\x99\x82',\xf0\x9f\x99\x82,xf0x9fx99x82,b'\\U0001f642',\\U0001f642
1F643,fully-qualified,🙃,E1.0,upside-down face,b'\xf0\x9f\x99\x83',\xf0\x9f\x99\x83,xf0x9fx99x83,b'\\U0001f643',\\U0001f643
1FAE0,fully-qualified,🫠,E14.0,melting face,b'\xf0\x9f\xab\xa0',\xf0\x9f\xab\xa0,xf0x9fxabxa0,b'\\U0001fae0',\\U0001fae0
1F609,fully-qualified,😉,E0.6,winking face,b'\xf0\x9f\x98\x89',\xf0\x9f\x98\x89,xf0x9fx98x89,b'\\U0001f609',\\U0001f609
1F60A,fully-qualified,😊,E0.6,smiling face with smiling eyes,b'\xf0\x9f\x98\x8a',\xf0\x9f\x98\x8a,xf0x9fx98x8a,b'\\U0001f60a',\\U0001f60a
1F607,fully-qualified,😇,E1.0,smiling face with halo,b'\xf0\x9f\x98\x87',\xf0\x9f\x98\x87,xf0x9fx98x87,b'\\U0001f607',\\U0001f607
1F970,fully-qualified,🥰,E11.0,smiling face with hearts,b'\xf0\x9f\xa5\xb0',\xf0\x9f\xa5\xb0,xf0x9fxa5xb0,b'\\U0001f970',\\U0001f970
1F60D,fully-qualified,😍,E0.6,smiling face with heart-eyes,b'\xf0\x9f\x98\x8d',\xf0\x9f\x98\x8d,xf0x9fx98x8d,b'\\U0001f60d',\\U0001f60d
1F929,fully-qualified,🤩,E5.0,star-struck,b'\xf0\x9f\xa4\xa9',\xf0\x9f\xa4\xa9,xf0x9fxa4xa9,b'\\U0001f929',\\U0001f929
1F618,fully-qualified,😘,E0.6,face blowing a kiss,b'\xf0\x9f\x98\x98',\xf0\x9f\x98\x98,xf0x9fx98x98,b'\\U0001f618',\\U0001f618
1F617,fully-qualified,😗,E1.0,kissing face,b'\xf0\x9f\x98\x97',\xf0\x9f\x98\x97,xf0x9fx98x97,b'\\U0001f617',\\U0001f617
263A FE0F,fully-qualified,☺️,E0.6,smiling face,b'\xe2\x98\xba\xef\xb8\x8f',\xe2\x98\xba\xef\xb8\x8f,xe2x98xbaxefxb8x8f,b'\\u263a\\ufe0f',\\u263a\\ufe0f
263A,unqualified,☺,E0.6,smiling face,b'\xe2\x98\xba',\xe2\x98\xba,xe2x98xba,b'\\u263a',\\u263a
1F61A,fully-qualified,😚,E0.6,kissing face with closed eyes,b'\xf0\x9f\x98\x9a',\xf0\x9f\x98\x9a,xf0x9fx98x9a,b'\\U0001f61a',\\U0001f61a
1F619,fully-qualified,😙,E1.0,kissing face with smiling eyes,b'\xf0\x9f\x98\x99',\xf0\x9f\x98\x99,xf0x9fx98x99,b'\\U0001f619',\\U0001f619
1F972,fully-qualified,🥲,E13.0,smiling face with tear,b'\xf0\x9f\xa5\xb2',\xf0\x9f\xa5\xb2,xf0x9fxa5xb2,b'\\U0001f972',\\U0001f972
1F60B,fully-qualified,😋,E0.6,face savoring food,b'\xf0\x9f\x98\x8b',\xf0\x9f\x98\x8,xf0x9fx98x8,b'\\U0001f60b',\\U0001f60
1F61B,fully-qualified,😛,E1.0,face with tongue,b'\xf0\x9f\x98\x9b',\xf0\x9f\x98\x9,xf0x9fx98x9,b'\\U0001f61b',\\U0001f61
1F61C,fully-qualified,😜,E0.6,winking face with tongue,b'\xf0\x9f\x98\x9c',\xf0\x9f\x98\x9c,xf0x9fx98x9c,b'\\U0001f61c',\\U0001f61c
1F92A,fully-qualified,🤪,E5.0,zany face,b'\xf0\x9f\xa4\xaa',\xf0\x9f\xa4\xaa,xf0x9fxa4xaa,b'\\U0001f92a',\\U0001f92a
1F61D,fully-qualified,😝,E0.6,squinting face with tongue,b'\xf0\x9f\x98\x9d',\xf0\x9f\x98\x9d,xf0x9fx98x9d,b'\\U0001f61d',\\U0001f61d
1F911,fully-qualified,🤑,E1.0,money-mouth face,b'\xf0\x9f\xa4\x91',\xf0\x9f\xa4\x91,xf0x9fxa4x91,b'\\U0001f911',\\U0001f911
1F917,fully-qualified,🤗,E1.0,smiling face with open hands,b'\xf0\x9f\xa4\x97',\xf0\x9f\xa4\x97,xf0x9fxa4x97,b'\\U0001f917',\\U0001f917
1F92D,fully-qualified,🤭,E5.0,face with hand over mouth,b'\xf0\x9f\xa4\xad',\xf0\x9f\xa4\xad,xf0x9fxa4xad,b'\\U0001f92d',\\U0001f92d
1FAE2,fully-qualified,🫢,E14.0,face with open eyes and hand over,b'\xf0\x9f\xab\xa2',\xf0\x9f\xab\xa2,xf0x9fxabxa2,b'\\U0001fae2',\\U0001fae2
1FAE3,fully-qualified,🫣,E14.0,face with peeking eye,b'\xf0\x9f\xab\xa3',\xf0\x9f\xab\xa3,xf0x9fxabxa3,b'\\U0001fae3',\\U0001fae3
1F92B,fully-qualified,🤫,E5.0,shushing face,b'\xf0\x9f\xa4\xab',\xf0\x9f\xa4\xa,xf0x9fxa4xa,b'\\U0001f92b',\\U0001f92
1F914,fully-qualified,🤔,E1.0,thinking face,b'\xf0\x9f\xa4\x94',\xf0\x9f\xa4\x94,xf0x9fxa4x94,b'\\U0001f914',\\U0001f914
1FAE1,fully-qualified,🫡,E14.0,saluting face,b'\xf0\x9f\xab\xa1',\xf0\x9f\xab\xa1,xf0x9fxabxa1,b'\\U0001fae1',\\U0001fae1
1F910,fully-qualified,🤐,E1.0,zipper-mouth face,b'\xf0\x9f\xa4\x90',\xf0\x9f\xa4\x90,xf0x9fxa4x90,b'\\U0001f910',\\U0001f910
1F928,fully-qualified,🤨,E5.0,face with raised eyebrow,b'\xf0\x9f\xa4\xa8',\xf0\x9f\xa4\xa8,xf0x9fxa4xa8,b'\\U0001f928',\\U0001f928
1F610,fully-qualified,😐,E0.7,neutral face,b'\xf0\x9f\x98\x90',\xf0\x9f\x98\x90,xf0x9fx98x90,b'\\U0001f610',\\U0001f610
1F611,fully-qualified,😑,E1.0,expressionless face,b'\xf0\x9f\x98\x91',\xf0\x9f\x98\x91,xf0x9fx98x91,b'\\U0001f611',\\U0001f611
1F636,fully-qualified,😶,E1.0,face without mouth,b'\xf0\x9f\x98\xb6',\xf0\x9f\x98\xb6,xf0x9fx98xb6,b'\\U0001f636',\\U0001f636
1FAE5,fully-qualified,🫥,E14.0,dotted line face,b'\xf0\x9f\xab\xa5',\xf0\x9f\xab\xa5,xf0x9fxabxa5,b'\\U0001fae5',\\U0001fae5
1F636 200D 1F32B,fully-qualified,😶‍🌫️,E13.1,face in clouds,b'\xf0\x9f\x98\xb6\xe2\x80\x8d\xf0\x9f\x8c\xab\xef\xb8\x8f',\xf0\x9f\x98\xb6\xe2\x80\x8d\xf0\x9f\x8c\xab\xef\xb8\x8f,xf0x9fx98xb6xe2x80x8dxf0x9fx8cxabxefxb8x8f,b'\\U0001f636\\u200d\\U0001f32b\\ufe0f',\\U0001f636\\u200d\\U0001f32b\\ufe0f
1F636 200D 1F32B,minimally-qualified,😶‍🌫,E13.1,face in clouds,b'\xf0\x9f\x98\xb6\xe2\x80\x8d\xf0\x9f\x8c\xab',\xf0\x9f\x98\xb6\xe2\x80\x8d\xf0\x9f\x8c\xa,xf0x9fx98xb6xe2x80x8dxf0x9fx8cxa,b'\\U0001f636\\u200d\\U0001f32b',\\U0001f636\\u200d\\U0001f32
1F60F,fully-qualified,😏,E0.6,smirking face,b'\xf0\x9f\x98\x8f',\xf0\x9f\x98\x8f,xf0x9fx98x8f,b'\\U0001f60f',\\U0001f60f
1F612,fully-qualified,😒,E0.6,unamused face,b'\xf0\x9f\x98\x92',\xf0\x9f\x98\x92,xf0x9fx98x92,b'\\U0001f612',\\U0001f612
1F644,fully-qualified,🙄,E1.0,face with rolling eyes,b'\xf0\x9f\x99\x84',\xf0\x9f\x99\x84,xf0x9fx99x84,b'\\U0001f644',\\U0001f644
1F62C,fully-qualified,😬,E1.0,grimacing face,b'\xf0\x9f\x98\xac',\xf0\x9f\x98\xac,xf0x9fx98xac,b'\\U0001f62c',\\U0001f62c
1F62E 200D 1F4A8,fully-qualified,😮‍💨,E13.1,face exhaling,b'\xf0\x9f\x98\xae\xe2\x80\x8d\xf0\x9f\x92\xa8',\xf0\x9f\x98\xae\xe2\x80\x8d\xf0\x9f\x92\xa8,xf0x9fx98xaexe2x80x8dxf0x9fx92xa8,b'\\U0001f62e\\u200d\\U0001f4a8',\\U0001f62e\\u200d\\U0001f4a8
1F925,fully-qualified,🤥,E3.0,lying face,b'\xf0\x9f\xa4\xa5',\xf0\x9f\xa4\xa5,xf0x9fxa4xa5,b'\\U0001f925',\\U0001f925
1F60C,fully-qualified,😌,E0.6,relieved face,b'\xf0\x9f\x98\x8c',\xf0\x9f\x98\x8c,xf0x9fx98x8c,b'\\U0001f60c',\\U0001f60c
1F614,fully-qualified,😔,E0.6,pensive face,b'\xf0\x9f\x98\x94',\xf0\x9f\x98\x94,xf0x9fx98x94,b'\\U0001f614',\\U0001f614
1F62A,fully-qualified,😪,E0.6,sleepy face,b'\xf0\x9f\x98\xaa',\xf0\x9f\x98\xaa,xf0x9fx98xaa,b'\\U0001f62a',\\U0001f62a
1F924,fully-qualified,🤤,E3.0,drooling face,b'\xf0\x9f\xa4\xa4',\xf0\x9f\xa4\xa4,xf0x9fxa4xa4,b'\\U0001f924',\\U0001f924
1F634,fully-qualified,😴,E1.0,sleeping face,b'\xf0\x9f\x98\xb4',\xf0\x9f\x98\xb4,xf0x9fx98xb4,b'\\U0001f634',\\U0001f634
1F637,fully-qualified,😷,E0.6,face with medical mask,b'\xf0\x9f\x98\xb7',\xf0\x9f\x98\xb7,xf0x9fx98xb7,b'\\U0001f637',\\U0001f637
1F912,fully-qualified,🤒,E1.0,face with thermometer,b'\xf0\x9f\xa4\x92',\xf0\x9f\xa4\x92,xf0x9fxa4x92,b'\\U0001f912',\\U0001f912
1F915,fully-qualified,🤕,E1.0,face with head-bandage,b'\xf0\x9f\xa4\x95',\xf0\x9f\xa4\x95,xf0x9fxa4x95,b'\\U0001f915',\\U0001f915
1F922,fully-qualified,🤢,E3.0,nauseated face,b'\xf0\x9f\xa4\xa2',\xf0\x9f\xa4\xa2,xf0x9fxa4xa2,b'\\U0001f922',\\U0001f922
1F92E,fully-qualified,🤮,E5.0,face vomiting,b'\xf0\x9f\xa4\xae',\xf0\x9f\xa4\xae,xf0x9fxa4xae,b'\\U0001f92e',\\U0001f92e
1F927,fully-qualified,🤧,E3.0,sneezing face,b'\xf0\x9f\xa4\xa7',\xf0\x9f\xa4\xa7,xf0x9fxa4xa7,b'\\U0001f927',\\U0001f927
1F975,fully-qualified,🥵,E11.0,hot face,b'\xf0\x9f\xa5\xb5',\xf0\x9f\xa5\xb5,xf0x9fxa5xb5,b'\\U0001f975',\\U0001f975
1F976,fully-qualified,🥶,E11.0,cold face,b'\xf0\x9f\xa5\xb6',\xf0\x9f\xa5\xb6,xf0x9fxa5xb6,b'\\U0001f976',\\U0001f976
1F974,fully-qualified,🥴,E11.0,woozy face,b'\xf0\x9f\xa5\xb4',\xf0\x9f\xa5\xb4,xf0x9fxa5xb4,b'\\U0001f974',\\U0001f974
