type,native,android,symbol,unicode,utf-8,description
emoticon,😁,😁,😁,U+1F601,\xF0\x9F\x98\x81,grinning face with smiling eyes
emoticon,😂,😂,😂,U+1F602,\xF0\x9F\x98\x82,face with tears of joy
emoticon,😃,😃,😃,U+1F603,\xF0\x9F\x98\x83,smiling face with open mouth
emoticon,😄,😄,😄,U+1F604,\xF0\x9F\x98\x84,smiling face with open mouth and smiling eyes
emoticon,😅,😅,😅,U+1F605,\xF0\x9F\x98\x85,smiling face with open mouth and cold sweat
emoticon,😆,😆,😆,U+1F606,\xF0\x9F\x98\x86,smiling face with open mouth and tightly-closed eyes
emoticon,😉,😉,😉,U+1F609,\xF0\x9F\x98\x89,winking face
emoticon,😊,😊,😊,U+1F60A,\xF0\x9F\x98\x8A,smiling face with smiling eyes
emoticon,😋,😋,😋,U+1F60B,\xF0\x9F\x98\x8B,face savouring delicious food
emoticon,😌,😌,😌,U+1F60C,\xF0\x9F\x98\x8C,relieved face
emoticon,😍,😍,😍,U+1F60D,\xF0\x9F\x98\x8D,smiling face with heart-shaped eyes
emoticon,😏,😏,😏,U+1F60F,\xF0\x9F\x98\x8F,smirking face
emoticon,😒,😒,😒,U+1F612,\xF0\x9F\x98\x92,unamused face
emoticon,😓,😓,😓,U+1F613,\xF0\x9F\x98\x93,face with cold sweat
emoticon,😔,😔,😔,U+1F614,\xF0\x9F\x98\x94,pensive face
emoticon,😖,😖,😖,U+1F616,\xF0\x9F\x98\x96,confounded face
emoticon,😘,😘,😘,U+1F618,\xF0\x9F\x98\x98,face throwing a kiss
emoticon,😚,😚,😚,U+1F61A,\xF0\x9F\x98\x9A,kissing face with closed eyes
emoticon,😜,😜,😜,U+1F61C,\xF0\x9F\x98\x9C,face with stuck-out tongue and winking eye
emoticon,😝,😝,😝,U+1F61D,\xF0\x9F\x98\x9D,face with stuck-out tongue and tightly-closed eyes
emoticon,😞,😞,😞,U+1F61E,\xF0\x9F\x98\x9E,disappointed face
emoticon,😠,😠,😠,U+1F620,\xF0\x9F\x98\xA0,angry face
emoticon,😡,😡,😡,U+1F621,\xF0\x9F\x98\xA1,pouting face
